snr,Joint_NaNs,Joint_mean,Joint_median,SND_NaNs,SND_mean,SND_median,TIN_NaNs,TIN_mean,TIN_median,PA_NaNs,PA_mean,PA_median
-20.0,0,0.189620581236,0.051859573,0,0.5793425886120002,0.24828946899999998,0,0.189620581236,0.051859573,,,
-15.0,0,2.497831591553002,1.5507291335,0,8.807772687457014,3.9763759575,0,2.497831591553002,1.5507291335,,,
-10.0,0,11.52742353057497,10.2236903425,0,59.94379973714101,39.592487449000004,0,11.52742353057497,10.2236903425,,,
-5.0,0,19.417895319721993,13.713335735,0,178.04833853482995,86.92379991099999,0,19.417895319721993,13.713335735,,,
0.0,0,19.768949551795007,9.496277619499999,0,385.77734863899394,75.50664806,0,19.768949551795007,9.496277619499999,221.0,192426.5285869592,46210.417629401505
5.0,0,12.098085228860006,4.424528447,0,581.1706570975019,57.414157912,0,12.098085228860006,4.424528447,285.0,192607.38797003136,54829.8566891885
10.0,0,9.732749255365983,1.6769673159999998,0,562.5014211073266,37.3893974025,0,9.732749255365983,1.6769673159999998,166.0,160266.01834400633,55300.1331825645
15.0,0,6.234303156951994,1.8428442705,0,351.9237447411568,29.1649717265,0,6.234303156951994,1.8428442705,76.0,77670.35990052854,7091.088084907
20.0,0,40.866150797352944,10.4948852725,0,322.8734989818559,78.850531666,0,40.866150797352944,10.4948852725,37.0,36770.146810103506,52.730786347
25.0,0,172.02961328004807,44.647037783,0,943.3504025033482,351.61931364199995,0,172.02961328004807,44.647037783,19.0,19380.7963056557,34.485301306
30.0,11,3217.21176252331,831.708115171,11,5335.477970766339,2494.542265733,11,3217.21176252331,831.708115171,11.0,10602.064211824452,35.66910507
35.0,273,3621.6696750158503,1780.717863118,273,5833.731103432007,4010.921048574,273,3621.6696750158503,1780.717863118,,,
40.0,746,4309.964772948847,2356.8291971565,746,5926.641584780207,3172.1692933745,746,4309.964772948847,2356.8291971565,,,
45.0,856,4689.732923185769,2490.026388468,856,5487.324134636326,3538.498081054,856,4689.732923185769,2490.026388468,,,
50.0,965,5118.060760357485,3558.908368784,965,6238.626285839428,3877.754393122,965,5118.060760357485,3558.908368784,,,
